Return Authorization Id,Tracking Id,Return Creation Date,Order Id,Return Ship Option,Carrier Package Id,
DPd9LsPPRRMA,Not Available,2017-08-18T11:40:02Z,402-9340430-1865952,AnyCarrier,Not Available,
D3kBQQPrRRMA,Not Available,2017-07-10T03:37:51Z,403-6327911-7476340,AnyCarrier,Not Available,
DSh3cCPWRRMA,710349239619,2017-05-26T10:27:35Z,403-3634113-4037156,Pickup,Not Available,
D1YNcZPnRRMA,710347866619,2017-05-22T13:46:15Z,403-3634113-4037156,Pickup,Not Available,
DcJvccPXRRMA,710345565149,2017-05-17T12:07:30Z,404-4155364-4879529,Pickup,Not Available,
DyRycQPQRRMA,710344907605,2017-05-16T08:06:57Z,404-4155364-4879529,Pickup,Not Available,
DgpgcdPhRRMA,710344761405,2017-05-16T02:20:21Z,406-5240308-1931517,Pickup,Not Available,
thvc62429RMA,Not Available,2016-11-04T13:50:47Z,171-4992175-4263564,AnyCarrier,Not Available,
qhxu63387RMA,710294491278,2016-10-24T17:05:31Z,402-7223352-9779522,Pickup,Not Available,
gbwc60032RMA,710289129933,2016-10-11T23:08:16Z,171-3012656-4276342,Pickup,Not Available,
qbvc49209RMA,710276842227,2016-08-15T18:08:22Z,403-0798710-1949968,Pickup,Not Available,
qwfc49278RMA,710276835236,2016-08-15T17:28:18Z,403-0798710-1949968,Pickup,Not Available,
Dt4FKnrbRRMA,710267733862,2016-06-27T14:10:51Z,171-4586809-1059502,Pickup,Not Available,
Dh1TKSrrRRMA,710266823861,2016-06-21T15:30:27Z,171-9632017-6449117,Pickup,Not Available,
DWTFK9rBRRMA,710264148652,2016-06-05T05:50:12Z,404-1611300-0340343,Pickup,Not Available,
Dqp9KBrKRRMA,710261959084,2016-05-21T14:41:26Z,171-4241153-9335552,Pickup,Not Available,
DH9dslJvRRMA,611103246334,2016-01-01T00:59:40Z,171-9016730-4829108,SellerAMZLPickup,Not Available,
DW7pDgJYRRMA,Not Available,2015-12-19T12:06:02Z,171-4814046-2217101,AnyCarrier,Not Available,
D406XjxQRRMA,Not Available,2015-11-13T02:40:05Z,402-6984923-3577153,AnyCarrier,Not Available,
DhBfDjR0RRMA,Not Available,2015-02-28T00:59:23Z,404-7418291-7496308,AnyCarrier,Not Available,
Dq8xljpmRRMA,Not Available,2014-12-06T17:11:24Z,403-4081228-0705923,Not Available,Not Available,
