DeliveryPacketId,OrderId,ASIN,ProductName,ReturnStatus,ReturnDate,OrderReturnBy,SendEmailToCustomer,RefundToGiftCertificate,AmountRefunded,BaseCurrencyCode,ProcessingSuccessful,ForeignExchangeTransactionAmount,ForeignExchangeCurrencyCode,PaymentInformation,SettleType,Status
AFU366CVFT3HUOOVL39IQ9U1J9A1VK3IHTTOVSFP69IKGQ4US5DG,D01-6487902-1400600,B06XYFK761,"Ignited Minds: Unleashing the Power within India",Customer Return Complete,2024-08-05T00:53:00Z,Customer Initiated,Yes,No,125.24,INR,Yes,Not Available,Not Available,"Gift Card",Manual,Amount Settled
IMHHNLBRR87VMSIC7H6DLG5EAM04QEI1F926NL3CADTPTU9MOIR0,D01-3826500-4597421,B0725X16ZS,"Kindle Unlimited Subscription",Customer Return Complete,2018-08-09T04:33:00Z,Amazon Initiated,Yes,No,2,INR,Yes,Not Available,Not Available,"Not Available",Manual,Amount Settled
