DigitalOrderItemId,DeliveryPacketId,AffectedItemQuantity,TransactionAmount,BaseCurrencyCode,ClaimCode,FXTransactionAmount,FXCurrencyCode,MonetaryComponentTypeCode,OfferTypeCode
RJ5U276I6H8TGUCAJRHPU1QR4LBV2CPMFHOKOGM1RIVRL81JIC9G,TK004IL3QSJS6AVSD1LJF8O965PEAGS1P5GQRQLK0OHCKH8RAQI0,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
RJ5U276I6H8TGUCAJRHPU1QR4LBV2CPMFHOKOGM1RIVRL81JIC9G,TK004IL3QSJS6AVSD1LJF8O965PEAGS1P5GQRQLK0OHCKH8RAQI0,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
RJ5U276I6H8TGUCAJRHPU1QR4LBV2CPMFHOKOGM1RIVRL81JIC9G,TK004IL3QSJS6AVSD1LJF8O965PEAGS1P5GQRQLK0OHCKH8RAQI0,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
1PU17DNIBH9O6B482S746ONQEUAVBIUARNM8A2NRSA6JFA358ST0,OPND4100HNT8GCDF6SQDMSDHS33CQMPKLNPHD0NUSDJJD7VSNL50,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
1PU17DNIBH9O6B482S746ONQEUAVBIUARNM8A2NRSA6JFA358ST0,OPND4100HNT8GCDF6SQDMSDHS33CQMPKLNPHD0NUSDJJD7VSNL50,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
1PU17DNIBH9O6B482S746ONQEUAVBIUARNM8A2NRSA6JFA358ST0,OPND4100HNT8GCDF6SQDMSDHS33CQMPKLNPHD0NUSDJJD7VSNL50,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
J5V1823F7I47TVUEFIE0FKURK9UUJ5U74IAOAJN1IFN9P49FPBOG,7V4NKJCI2INRKHM1G8GTSV75UCMKD7DT7P6FN9RJAABSTJE9N2DG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
J5V1823F7I47TVUEFIE0FKURK9UUJ5U74IAOAJN1IFN9P49FPBOG,7V4NKJCI2INRKHM1G8GTSV75UCMKD7DT7P6FN9RJAABSTJE9N2DG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
J5V1823F7I47TVUEFIE0FKURK9UUJ5U74IAOAJN1IFN9P49FPBOG,7V4NKJCI2INRKHM1G8GTSV75UCMKD7DT7P6FN9RJAABSTJE9N2DG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
7HTNQK09VVBJI5VAO4ES6D6D9HJULV11GC52U0LAAE12JB5HSBT0,8UKFLIE5J08PJ88JFDJ7OIL4IMNS8E2KOHHBBCM4DTNJ9FPFND8G,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
7HTNQK09VVBJI5VAO4ES6D6D9HJULV11GC52U0LAAE12JB5HSBT0,8UKFLIE5J08PJ88JFDJ7OIL4IMNS8E2KOHHBBCM4DTNJ9FPFND8G,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
7HTNQK09VVBJI5VAO4ES6D6D9HJULV11GC52U0LAAE12JB5HSBT0,8UKFLIE5J08PJ88JFDJ7OIL4IMNS8E2KOHHBBCM4DTNJ9FPFND8G,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
KRHQHPSBTKBI5OCMDILRB28B12QBHS9QKHSVRBEJDSFA1Q1M3NQ0,FRMTFIIM479ANR79AQ55MJ90AHIPPSE0H0UUE0FJ39MM1TMPHN90,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
KRHQHPSBTKBI5OCMDILRB28B12QBHS9QKHSVRBEJDSFA1Q1M3NQ0,FRMTFIIM479ANR79AQ55MJ90AHIPPSE0H0UUE0FJ39MM1TMPHN90,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
KRHQHPSBTKBI5OCMDILRB28B12QBHS9QKHSVRBEJDSFA1Q1M3NQ0,FRMTFIIM479ANR79AQ55MJ90AHIPPSE0H0UUE0FJ39MM1TMPHN90,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
89ELIUOGU02CET10LJ4OO59NV7HKHNC3VC7DFO8KRKRNDB2IP22G,2G96I8PB70PQV938LF33KA0V88JHJUALPM380N5EAMOJCDPQ98D0,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
89ELIUOGU02CET10LJ4OO59NV7HKHNC3VC7DFO8KRKRNDB2IP22G,2G96I8PB70PQV938LF33KA0V88JHJUALPM380N5EAMOJCDPQ98D0,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
